pk,name,league,nickname,address,city,state,country,phone,stadium
458,Savannah State University,33,Tigers,,,,,,,,
459,South Carolina State University,33,Bulldogs,,,,,,,,
460,Bradley University,34,Braves,,,,,,,,
461,Drake University,34,Bulldogs,,,,,,,,
462,University of Evansville,34,Purple Aces,,,,,,,,
463,Illinois State University,34,Redbirds,,,,,,,,
464,Indiana State University,34,Sycamores,,,,,,,,
465,Loyola University Chicago,34,Ramblers,,,,,,,,
466,Missouri State University,34,Bears,,,,,,,,
467,University of Northern Iowa,34,Panthers,,,,,,,,
468,Southern Illinois University,34,Salukis,,,,,,,,
469,Valparaiso University,34,Crusaders,,,,,,,,
494,Bryant University,36,Bulldogs,,,,,,,,
495,Central Connecticut State University,36,Blue Devils,,,,,,,,
496,Fairleigh Dickinson University,36,Knights,,,,,,,,
497,LIU Brooklyn,36,Blackbirds,,,,,,,,
498,Mount St. Mary's University,36,Mountaineers,,,,,,,,
499,Robert Morris University - NE,36,Colonials,,,,,,,,
500,Sacred Heart University,36,Pioneers,,,,,,,,
501,St. Francis Brooklyn,36,Terriers,,,,,,,,
502,Saint Francis University,36,Red Flash,,,,,,,,
503,Wagner College,36,Seahawks,,,,,,,,
504,Austin Peay State University,37,Governors,,,,,,,,
505,Belmont University,37,Bruins,,,,,,,,
506,Eastern Illinois University,37,Panthers,,,,,,,,
507,Eastern Kentucky University,37,Colonels,,,,,,,,
508,Jacksonville State University,37,Gamecocks,,,,,,,,
509,Morehead State University,37,Eagles,,,,,,,,
510,Murray State University,37,Racers,,,,,,,,
511,Southeast Missouri State University,37,Redhawks,,,,,,,,
512,Southern Illinois University Edwardsville,37,Cougars,,,,,,,,
513,Tennessee State University,37,Tigers,,,,,,,,
514,Tennessee Technological University,37,Golden Eagles,,,,,,,,
515,University of Tennessee at Martin,37,Skyhawks,,,,,,,,
516,American University,38,Eagles,,,,,,,,
517,United States Military Academy (Army),38,Black Knights,,West Point,NY,,,,,,
518,Boston University,38,Terriers,,,,,,,,
519,Bucknell University,38,Bison,,,,,,,,
520,Colgate University,38,Raiders,,,,,,,,
521,College of the Holy Cross,38,Crusaders,,,,,,,,
522,Lafayette College,38,Leopards,,,,,,,,
523,Lehigh University,38,Mountain Hawks,,,,,,,,
524,Loyola University Maryland,38,Greyhounds,,,,,,,,
525,United States Naval Academy (Navy),38,Midshipmen,,Annapolis,MD,,,,,,
526,University of Tennessee at Chattanooga,39,Mocs,,,,,,,,
527,The Citadel,39,Bulldogs,,,,,,,,
528,East Tennessee State University,39,Buccaneers,,,,,,,,
529,Furman University,39,Paladins,,,,,,,,
530,Mercer University,39,Bears,,,,,,,,
531,Samford University,39,Bulldogs,,,,,,,,
532,University of North Carolina at Greensboro,39,Spartans,,,,,,,,
533,Virginia Military Institute,39,Keydets,,,,,,,,
